edgeID,hour,vehicles
73221,EIGHTAM,2144
73221,NINEAM,1392
73221,TENAM,1203
73221,ELEVENAM,1207
73221,NOON,1168
73221,ONEPM,1125
73221,TWOPM,1191
73221,THREEPM,1586
73221,FOURPM,1709
73221,FIVEPM,1931
73221,SIXPM,1451
73221,SEVENPM,934
73221,EIGHTPM,582
73221,NINEPM,383
73221,TENPM,278
73221,ELEVENPM,145
50858,MIDNIGHT,54
50858,ONEAM,21
50858,TWOAM,18
50858,THREEAM,18
50858,FOURAM,61
50858,FIVEAM,315
50858,SIXAM,856
50858,SEVENAM,2308
50858,EIGHTAM,3795
50858,NINEAM,2464
50858,TENAM,2130
50858,ELEVENAM,2137
50858,NOON,2068
50858,ONEPM,1992
50858,TWOPM,2108
50858,THREEPM,2808
50858,FOURPM,3026
50858,FIVEPM,3418
50858,SIXPM,2569
50858,SEVENPM,1654
50858,EIGHTPM,1030
50858,NINEPM,678
50858,TENPM,493
50858,ELEVENPM,257
52722,MIDNIGHT,13
52722,ONEAM,5
52722,TWOAM,4
52722,THREEAM,4
52722,FOURAM,14
52722,FIVEAM,75
52722,SIXAM,205
52722,SEVENAM,552
52722,EIGHTAM,908
52722,NINEAM,589
52722,TENAM,510
52722,ELEVENAM,511
52722,NOON,495
52722,ONEPM,477
52722,TWOPM,504
52722,THREEPM,672
52722,FOURPM,724
52722,FIVEPM,818
52722,SIXPM,615
52722,SEVENPM,396
52722,EIGHTPM,246
52722,NINEPM,162
52722,TENPM,118
52722,ELEVENPM,61
69114,MIDNIGHT,23
69114,ONEAM,9
69114,TWOAM,7
69114,THREEAM,7
69114,FOURAM,27
69114,FIVEAM,138
69114,SIXAM,376
69114,SEVENAM,1014
69114,EIGHTAM,1669
69114,NINEAM,1083
69114,TENAM,936
69114,ELEVENAM,939
69114,NOON,909
69114,ONEPM,876
69114,TWOPM,927
69114,THREEPM,1235
69114,FOURPM,1330
69114,FIVEPM,1503
69114,SIXPM,1129
69114,SEVENPM,727
69114,EIGHTPM,453
69114,NINEPM,298
69114,TENPM,217
69114,ELEVENPM,113
67204,MIDNIGHT,13
67204,ONEAM,5
67204,TWOAM,4
67204,THREEAM,4
67204,FOURAM,15
67204,FIVEAM,78
67204,SIXAM,211
67204,SEVENAM,571
67204,EIGHTAM,939
67204,NINEAM,609
67204,TENAM,527
67204,ELEVENAM,528
67204,NOON,511
67204,ONEPM,492
67204,TWOPM,521
67204,THREEPM,694
67204,FOURPM,748
67204,FIVEPM,845
67204,SIXPM,635
67204,SEVENPM,409
67204,EIGHTPM,254
67204,NINEPM,167
67204,TENPM,122
67204,ELEVENPM,63
59067,MIDNIGHT,16
59067,ONEAM,6
59067,TWOAM,5
59067,THREEAM,5
59067,FOURAM,18
59067,FIVEAM,93
59067,SIXAM,254
59067,SEVENAM,686
59067,EIGHTAM,1128
59067,NINEAM,732
59067,TENAM,633
59067,ELEVENAM,635
59067,NOON,615
59067,ONEPM,592
59067,TWOPM,626
59067,THREEPM,835
59067,FOURPM,899
59067,FIVEPM,1016
59067,SIXPM,764
59067,SEVENPM,492
59067,EIGHTPM,306
59067,NINEPM,201
59067,TENPM,146
59067,ELEVENPM,76
57036,MIDNIGHT,8
57036,ONEAM,3
57036,TWOAM,2
57036,THREEAM,2
57036,FOURAM,9
57036,FIVEAM,47
57036,SIXAM,129
57036,SEVENAM,349
57036,EIGHTAM,575
57036,NINEAM,373
57036,TENAM,323
57036,ELEVENAM,324
57036,NOON,313
57036,ONEPM,302
57036,TWOPM,319
57036,THREEPM,425
57036,FOURPM,458
57036,FIVEPM,518
57036,SIXPM,389
57036,SEVENPM,250
57036,EIGHTPM,156
57036,NINEPM,102
57036,TENPM,74
57036,ELEVENPM,39
65040,MIDNIGHT,8
65040,ONEAM,3
65040,TWOAM,2
65040,THREEAM,2
65040,FOURAM,10
65040,FIVEAM,51
65040,SIXAM,138
65040,SEVENAM,374
65040,EIGHTAM,615
65040,NINEAM,399
65040,TENAM,345
65040,ELEVENAM,346
65040,NOON,335
65040,ONEPM,323
65040,TWOPM,342
65040,THREEPM,455
65040,FOURPM,491
65040,FIVEPM,554
65040,SIXPM,416
65040,SEVENPM,268
65040,EIGHTPM,167
65040,NINEPM,110
65040,TENPM,80
65040,ELEVENPM,41
77731,MIDNIGHT,39
77731,ONEAM,15
77731,TWOAM,13
77731,THREEAM,13
77731,FOURAM,44
77731,FIVEAM,230
77731,SIXAM,624
